"id","ma","ten","ma_cha","last_update","trang_thai"
377,KHB,Chi nhánh TCTHKVN - CTCP tại Campuchia,TM,"2026-06-05 02:26:01.118967",
518,HRD-CBBP,Cán bộ Tăng cường/Biệt phái,HRD,"2026-06-05 02:26:01.118967",
551,MSD-TMĐT,Phòng Phát triển và Vận hành thương mại điện tử,MSD,"2026-06-05 02:26:01.118967",
386,MSD,Ban Tiếp thị và Bán sản phẩm,TM,"2026-06-05 02:26:01.118967",
271,FAD,Ban Tài chính Kế toán,TMU,"2026-06-05 02:26:01.118967",
301,CBD,Ban Truyền thông,TMU,"2026-06-05 02:26:01.118967",
439,VAS,Chi nhánh TCTHKVN - CTCP - Công ty Bay dịch vụ hàng không,Other,"2026-06-05 02:26:01.118967",
287,ASO-DVKTTSN,Phòng Dịch vụ và Khai thác Tân Sơn Nhất,ASO,"2026-06-05 02:26:01.118967",
350,GLC-KTHC,Phòng Kế toán - Hành chính,GLC,"2026-06-05 02:26:01.118967",
400,CPD,Ban Kế hoạch và Phát triển,TMU,"2026-06-05 02:26:01.118967",
317,CNB,Chi nhánh TCTHKVN - CTCP tại Trung Quốc,TM,"2026-06-05 02:26:01.118967",
342,FCD-TCHC,Phòng Tổ chức - Hành chính,FCD,"2026-06-05 02:26:01.118967",
365,IPD-ĐTXD,Phòng Đầu tư và Quản lý cơ sở hạ tầng,IPD,"2026-06-05 02:26:01.118967",
580,UNI-QHLĐ,Ban Quan hệ lao động,UNI,"2026-06-05 02:26:01.118967",
380,LAB-LPQ,Chi nhánh TCTHKVN – CTCP tại Luang Prabang (LPQ),LAB,"2026-06-05 02:26:01.118967",
312,CCD-LĐ4,Liên đội Tiếp viên 4,CCD,"2026-06-05 02:26:01.118967",
545,DTT,Ban Chuyển đổi số và Công nghệ,TMU,"2026-06-05 02:26:01.118967",
346,FTC-ĐT,Phòng Đào tạo,FTC,"2026-06-05 02:26:01.118967",
334,FCD,Đoàn bay 919,KTB,"2026-06-05 02:26:01.118967",
394,OCC,Trung tâm Điều hành khai thác,KTB,"2026-06-05 02:26:01.118967",
283,ASO,Chi nhánh TCTHKVN - CTCP - Trung tâm Dịch vụ và Khai thác sân bay,DV,"2026-06-05 02:26:01.118967",
407,PSD-DVMĐ,Phòng Dịch vụ mặt đất,PSD,"2026-06-05 02:26:01.118967",
335,FCD-A321,Đội bay Airbus 321,FCD,"2026-06-05 02:26:01.118967",
472,VNB-TMHK,Phòng Thương mại hành khách,VNB,"2026-06-05 02:26:01.118967",
267,KTB,Khai thác bay,BOM,"2026-06-05 02:26:01.118967",
266,KT,Kỹ thuật,BOM,"2026-06-05 02:26:01.118967",
311,CCD-LĐ3,Liên đội Tiếp viên 3,CCD,"2026-06-05 02:26:01.118967",
507,CAD-LĐ,Lãnh đạo VP,CAD,"2026-06-05 02:26:01.118967",
435,VAC,Công Ty TNHH MTV Suất Ăn Hàng Không Việt Nam,CTC,"2026-06-05 02:26:01.118967",
310,CCD-LĐ2,Liên đội Tiếp viên 2,CCD,"2026-06-05 02:26:01.118967",
